,fips_id,county_name,estab_count,emp_count,avg_wkly_wage,total_qtrly_wages,percent_nat_avg
0,01001,"Autauga County, Alabama",90,1622,282,5943920,1.28
1,01003,"Baldwin County, Alabama",748,16748,433,94242815,1.89
2,01005,"Barbour County, Alabama",64,760,257,2541270,0.8
3,01007,"Bibb County, Alabama",18,198,261,672349,0.37
4,01009,"Blount County, Alabama",56,933,242,2932082,0.94
5,01011,"Bullock County, Alabama",12,108,285,401025,0.32
6,01013,"Butler County, Alabama",45,837,279,3036359,1.05
7,01015,"Calhoun County, Alabama",258,5137,306,20421719,1.01
8,01017,"Chambers County, Alabama",63,910,261,3090653,0.94
9,01019,"Cherokee County, Alabama",40,545,238,1686853,0.93
10,01021,"Chilton County, Alabama",62,919,291,3476105,0.84
11,01023,"Choctaw County, Alabama",21,155,258,520688,0.39
12,01025,"Clarke County, Alabama",53,667,269,2336427,0.74
13,01027,"Clay County, Alabama",11,120,250,389842,0.25
14,01029,"Cleburne County, Alabama",11,149,270,523589,0.65
15,01031,"Coffee County, Alabama",111,1815,280,6601669,0.97
16,01033,"Colbert County, Alabama",123,2025,289,7613745,0.73
17,01035,"Conecuh County, Alabama",22,305,268,1060885,0.78
18,01037,"Coosa County, Alabama",5,65,603,512480,0.39
19,01039,"Covington County, Alabama",73,1021,288,3824405,0.73
20,01041,"Crenshaw County, Alabama",15,198,243,626315,0.47
21,01043,"Cullman County, Alabama",169,3038,322,12701347,0.93
22,01045,"Dale County, Alabama",83,1241,295,4766031,0.63
23,01047,"Dallas County, Alabama",57,934,265,3222834,0.67
24,01049,"DeKalb County, Alabama",112,2015,333,8728690,0.78
25,01051,"Elmore County, Alabama",165,3332,307,13276846,1.47
26,01053,"Escambia County, Alabama",74,1278,277,4600861,0.86
27,01055,"Etowah County, Alabama",209,4009,292,15223364,0.99
28,01057,"Fayette County, Alabama",25,312,230,934728,0.69
29,01059,"Franklin County, Alabama",53,740,251,2413943,0.58
30,01061,"Geneva County, Alabama",36,367,258,1231910,0.63
31,01063,"Greene County, Alabama",10,252,479,1570569,1.29
32,01065,"Hale County, Alabama",16,186,250,606001,0.61
33,01067,"Henry County, Alabama",21,222,262,757484,0.57
34,01069,"Houston County, Alabama",301,5880,307,23481392,1.05
35,01071,"Jackson County, Alabama",92,1353,296,5199604,0.76
36,01073,"Jefferson County, Alabama",1834,37328,389,188786199,0.92
37,01075,"Lamar County, Alabama",19,191,263,654652,0.48
38,01077,"Lauderdale County, Alabama",217,4530,307,18108573,1.35
39,01079,"Lawrence County, Alabama",47,565,266,1959326,1.01
40,01081,"Lee County, Alabama",439,9107,310,36753708,1.32
41,01083,"Limestone County, Alabama",125,2071,325,8745433,0.76
42,01085,"Lowndes County, Alabama",8,0,0,0,0.0
43,01087,"Macon County, Alabama",18,546,304,2160590,1.04
44,01089,"Madison County, Alabama",971,20907,336,91324411,0.89
45,01091,"Marengo County, Alabama",41,492,299,1916293,0.61
46,01093,"Marion County, Alabama",64,808,250,2630609,0.7
47,01095,"Marshall County, Alabama",220,3759,290,14148611,0.86
48,01097,"Mobile County, Alabama",956,18057,334,78447534,0.92
49,01099,"Monroe County, Alabama",28,426,266,1472771,0.59
50,01101,"Montgomery County, Alabama",614,12375,335,53837086,0.83
51,01103,"Morgan County, Alabama",250,4729,323,19843403,0.83
52,01105,"Perry County, Alabama",17,194,299,755844,0.82
53,01107,"Pickens County, Alabama",17,145,302,569742,0.34
54,01109,"Pike County, Alabama",87,1646,279,5974904,1.01
55,01111,"Randolph County, Alabama",26,372,264,1278899,0.69
56,01113,"Russell County, Alabama",102,1721,290,6501828,1.06
57,01115,"St. Clair County, Alabama",155,2467,301,9668973,1.08
58,01117,"Shelby County, Alabama",493,9504,358,44214900,0.98
59,01119,"Sumter County, Alabama",20,291,240,907909,0.86
60,01121,"Talladega County, Alabama",150,2454,351,11190072,0.72
61,01123,"Tallapoosa County, Alabama",85,1325,380,6540383,0.86
62,01125,"Tuscaloosa County, Alabama",513,11129,322,46564562,1.01
63,01127,"Walker County, Alabama",115,2146,310,8650769,1.03
64,01129,"Washington County, Alabama",12,46,272,164072,0.11
65,01131,"Wilcox County, Alabama",16,115,277,416243,0.36
66,01133,"Winston County, Alabama",29,392,302,1538518,0.41
67,01999,"Unknown Or Undefined, Alabama",190,0,0,0,0.0
68,02013,"Aleutians East Borough, Alaska",8,35,502,232801,0.09
69,02016,"Aleutians West Census Area, Alaska",7,36,801,381692,0.09
70,02020,"Anchorage Municipality, Alaska",877,18556,518,124998115,1.09
71,02050,"Bethel Census Area, Alaska",25,160,419,872310,0.2
72,02060,"Bristol Bay Borough, Alaska",28,266,958,3313236,1.26
73,02068,"Denali Borough, Alaska",54,2529,724,23805067,6.12
74,02070,"Dillingham Census Area, Alaska",24,181,1065,2505260,0.52
75,02090,"Fairbanks North Star Borough, Alaska",299,5045,462,30302080,1.16
76,02100,"Haines Borough, Alaska",36,456,429,2545924,2.78
77,02105,"Hoonah-Angoon Census Area, Alaska",25,409,688,3665726,3.18
78,02110,"Juneau City and Borough, Alaska",140,2080,468,12671967,0.96
79,02122,"Kenai Peninsula Borough, Alaska",368,3731,528,25628437,1.51
80,02130,"Ketchikan Gateway Borough, Alaska",82,1403,510,9309962,1.44
81,02150,"Kodiak Island Borough, Alaska",61,489,544,3464879,0.67
82,02158,"Kusilvak Census Area, Alaska",4,27,141,50665,0.1
83,02164,"Lake and Peninsula Borough, Alaska",22,264,1134,3896552,1.9
84,02170,"Matanuska-Susitna Borough, Alaska",284,3749,454,22136400,1.32
85,02180,"Nome Census Area, Alaska",24,153,458,914369,0.35
86,02185,"North Slope Borough, Alaska",23,602,874,6844707,0.43
87,02188,"Northwest Arctic Borough, Alaska",10,121,1022,1616019,0.36
88,02195,"Petersburg Borough, Alaska",20,125,444,723942,0.72
89,02198,"Prince of Wales-Hyder Census Area, Alaska",28,307,908,3627600,1.13
90,02220,"Sitka City and Borough, Alaska",57,656,654,5574211,1.15
91,02230,"Skagway Municipality, Alaska",28,569,729,5395613,3.23
92,02240,"Southeast Fairbanks Census Area, Alaska",29,264,471,1619839,0.9
93,02261,"Valdez-Cordova Census Area, Alaska",107,790,594,6106394,1.06
94,02275,"Wrangell City and Borough, Alaska",9,61,512,410821,0.6
95,02282,"Yakutat City and Borough, Alaska",8,88,785,905049,2.43
96,02290,"Yukon-Koyukuk Census Area, Alaska",16,47,523,321662,0.18
97,02999,"Unknown Or Undefined, Alaska",11,28,1241,462317,0.15
98,04001,"Apache County, Arizona",57,1163,353,5330093,0.58
99,04003,"Cochise County, Arizona",265,3614,364,17107757,0.94
100,04005,"Coconino County, Arizona",576,16418,484,103266204,2.29
101,04007,"Gila County, Arizona",133,1906,374,9265822,1.13
102,04009,"Graham County, Arizona",54,832,306,3311898,0.8
103,04011,"Greenlee County, Arizona",11,154,304,609083,0.26
104,04012,"La Paz County, Arizona",58,851,449,4964042,1.23
105,04013,"Maricopa County, Arizona",9064,222009,524,1511288407,0.95
106,04015,"Mohave County, Arizona",409,7563,395,38871732,1.3
107,04017,"Navajo County, Arizona",230,3970,386,19932457,1.3
108,04019,"Pima County, Arizona",1951,43444,407,229991957,1.03
109,04021,"Pinal County, Arizona",347,5744,373,27874963,0.81
110,04023,"Santa Cruz County, Arizona",87,1334,367,6372965,0.93
111,04025,"Yavapai County, Arizona",642,10505,436,59510936,1.42
112,04027,"Yuma County, Arizona",331,6031,370,29013028,0.89
113,04999,"Unknown Or Undefined, Arizona",184,425,1172,6479344,0.11
114,05001,"Arkansas County, Arkansas",72,608,298,2354753,0.52
115,05003,"Ashley County, Arkansas",38,409,283,1504702,0.55
116,05005,"Baxter County, Arkansas",116,1696,323,7119605,1.01
117,05007,"Benton County, Arkansas",652,13467,382,66896480,0.97
118,05009,"Boone County, Arkansas",82,1256,319,5213253,0.79
119,05011,"Bradley County, Arkansas",14,180,252,591722,0.43
120,05013,"Calhoun County, Arkansas",4,13,263,44393,0.04
121,05015,"Carroll County, Arkansas",162,1904,320,7929786,1.5
122,05017,"Chicot County, Arkansas",15,106,265,366104,0.31
123,05019,"Clark County, Arkansas",68,1178,278,4261859,1.12
124,05021,"Clay County, Arkansas",22,204,263,699865,0.57
125,05023,"Cleburne County, Arkansas",81,941,324,3958532,1.3
126,05025,"Cleveland County, Arkansas",3,0,0,0,0.0
127,05027,"Columbia County, Arkansas",59,747,283,2744194,0.82
128,05029,"Conway County, Arkansas",37,461,311,1865340,0.62
129,05031,"Craighead County, Arkansas",267,5632,319,23332294,0.96
130,05033,"Crawford County, Arkansas",91,1663,291,6295658,0.74
131,05035,"Crittenden County, Arkansas",136,2743,385,13717488,1.5
132,05037,"Cross County, Arkansas",35,445,275,1591245,0.82
133,05039,"Dallas County, Arkansas",13,158,237,489558,0.53
134,05041,"Desha County, Arkansas",36,363,276,1302429,0.7
135,05043,"Drew County, Arkansas",42,667,278,2411557,0.93
136,05045,"Faulkner County, Arkansas",275,5371,313,21862551,1.16
137,05047,"Franklin County, Arkansas",32,367,268,1277607,0.68
138,05049,"Fulton County, Arkansas",15,147,275,527712,0.63
139,05051,"Garland County, Arkansas",390,7465,383,37208454,1.75
140,05053,"Grant County, Arkansas",23,317,237,978426,0.66
141,05055,"Greene County, Arkansas",77,1393,302,5462706,0.79
142,05057,"Hempstead County, Arkansas",45,621,319,2571539,0.72
143,05059,"Hot Spring County, Arkansas",48,662,265,2276380,0.71
144,05061,"Howard County, Arkansas",26,340,284,1256684,0.45
145,05063,"Independence County, Arkansas",84,1252,286,4650639,0.7
146,05065,"Izard County, Arkansas",19,190,317,784601,0.55
147,05067,"Jackson County, Arkansas",25,339,268,1180545,0.58
148,05069,"Jefferson County, Arkansas",136,1889,291,7140018,0.62
149,05071,"Johnson County, Arkansas",42,613,277,2205128,0.66
150,05073,"Lafayette County, Arkansas",5,38,259,128976,0.3
151,05075,"Lawrence County, Arkansas",30,318,257,1063557,0.74
152,05077,"Lee County, Arkansas",7,65,301,255614,0.31
153,05079,"Lincoln County, Arkansas",15,149,222,431973,0.47
154,05081,"Little River County, Arkansas",17,233,268,814639,0.61
155,05083,"Logan County, Arkansas",31,340,264,1168585,0.59
156,05085,"Lonoke County, Arkansas",118,2127,310,8576041,1.36
157,05087,"Madison County, Arkansas",19,206,256,686699,0.54
158,05089,"Marion County, Arkansas",35,230,263,787857,0.52
159,05091,"Miller County, Arkansas",88,1517,311,6131909,1.02
160,05093,"Mississippi County, Arkansas",94,1179,275,4222524,0.59
161,05095,"Monroe County, Arkansas",22,237,283,874238,1.03
162,05097,"Montgomery County, Arkansas",14,326,416,1763752,2.26
163,05099,"Nevada County, Arkansas",9,92,257,309469,0.32
164,05101,"Newton County, Arkansas",16,162,307,648422,1.38
165,05103,"Ouachita County, Arkansas",38,460,288,1720970,0.61
166,05105,"Perry County, Arkansas",8,66,305,262713,0.54
167,05107,"Phillips County, Arkansas",38,328,287,1226238,0.55
168,05109,"Pike County, Arkansas",26,263,284,972998,0.89
169,05111,"Poinsett County, Arkansas",42,433,270,1521633,0.74
170,05113,"Polk County, Arkansas",41,474,267,1642702,0.71
171,05115,"Pope County, Arkansas",143,2763,323,11611670,0.96
172,05117,"Prairie County, Arkansas",19,96,289,361719,0.59
173,05119,"Pulaski County, Arkansas",1293,23395,368,111964623,0.82
174,05121,"Randolph County, Arkansas",30,422,268,1470862,0.63
175,05123,"St. Francis County, Arkansas",47,673,302,2645850,0.82
176,05125,"Saline County, Arkansas",198,3522,318,14576135,1.26
177,05127,"Scott County, Arkansas",18,150,278,545257,0.45
