DATE,ICSA
1/1/2000,286000
1/8/2000,298000
1/15/2000,289000
1/22/2000,284000
1/29/2000,285000
2/5/2000,312000
2/12/2000,300000
2/19/2000,283000
2/26/2000,280000
3/4/2000,286000
3/11/2000,270000
3/18/2000,271000
3/25/2000,272000
4/1/2000,266000
4/8/2000,268000
4/15/2000,259000
4/22/2000,274000
4/29/2000,291000
5/6/2000,293000
5/13/2000,276000
5/20/2000,280000
5/27/2000,280000
6/3/2000,290000
6/10/2000,284000
6/17/2000,294000
6/24/2000,296000
7/1/2000,281000
7/8/2000,293000
7/15/2000,303000
7/22/2000,300000
7/29/2000,298000
8/5/2000,306000
8/12/2000,315000
8/19/2000,318000
8/26/2000,312000
9/2/2000,301000
9/9/2000,309000
9/16/2000,311000
9/23/2000,288000
9/30/2000,292000
10/7/2000,309000
10/14/2000,299000
10/21/2000,295000
10/28/2000,301000
11/4/2000,331000
11/11/2000,318000
11/18/2000,332000
11/25/2000,356000
12/2/2000,338000
12/9/2000,321000
12/16/2000,354000
12/23/2000,364000
12/30/2000,353000
1/6/2001,337000
1/13/2001,318000
1/20/2001,343000
1/27/2001,362000
2/3/2001,376000
2/10/2001,365000
2/17/2001,358000
2/24/2001,386000
3/3/2001,384000
3/10/2001,393000
3/17/2001,393000
3/24/2001,378000
3/31/2001,388000
4/7/2001,398000
4/14/2001,383000
4/21/2001,400000
4/28/2001,406000
5/5/2001,381000
5/12/2001,390000
5/19/2001,402000
5/26/2001,405000
6/2/2001,406000
6/9/2001,411000
6/16/2001,394000
6/23/2001,381000
6/30/2001,394000
7/7/2001,401000
7/14/2001,405000
7/21/2001,398000
7/28/2001,388000
8/4/2001,401000
8/11/2001,394000
8/18/2001,402000
8/25/2001,395000
9/1/2001,402000
9/8/2001,408000
9/15/2001,395000
9/22/2001,453000
9/29/2001,517000
10/6/2001,476000
10/13/2001,482000
10/20/2001,482000
10/27/2001,483000
11/3/2001,440000
11/10/2001,428000
11/17/2001,431000
11/24/2001,491000
12/1/2001,465000
12/8/2001,393000
12/15/2001,389000
12/22/2001,416000
12/29/2001,421000
1/5/2002,397000
1/12/2002,418000
1/19/2002,405000
1/26/2002,414000
2/2/2002,404000
2/9/2002,397000
2/16/2002,397000
2/23/2002,398000
3/2/2002,392000
3/9/2002,399000
3/16/2002,392000
3/23/2002,415000
3/30/2002,479000
4/6/2002,445000
4/13/2002,442000
4/20/2002,416000
4/27/2002,414000
5/4/2002,409000
5/11/2002,413000
5/18/2002,411000
5/25/2002,403000
6/1/2002,378000
6/8/2002,388000
6/15/2002,396000
6/22/2002,388000
6/29/2002,386000
7/6/2002,391000
7/13/2002,384000
7/20/2002,379000
7/27/2002,390000
8/3/2002,388000
8/10/2002,389000
8/17/2002,399000
8/24/2002,398000
8/31/2002,394000
9/7/2002,416000
9/14/2002,412000
9/21/2002,401000
9/28/2002,409000
10/5/2002,404000
10/12/2002,405000
10/19/2002,412000
10/26/2002,409000
11/2/2002,405000
11/9/2002,400000
11/16/2002,389000
11/23/2002,390000
11/30/2002,377000
12/7/2002,425000
12/14/2002,429000
12/21/2002,394000
12/28/2002,409000
1/4/2003,393000
1/11/2003,378000
1/18/2003,402000
1/25/2003,407000
2/1/2003,413000
2/8/2003,390000
2/15/2003,420000
2/22/2003,421000
3/1/2003,436000
3/8/2003,424000
3/15/2003,430000
3/22/2003,411000
3/29/2003,436000
4/5/2003,417000
4/12/2003,434000
4/19/2003,450000
4/26/2003,444000
5/3/2003,428000
5/10/2003,417000
5/17/2003,425000
5/24/2003,419000
5/31/2003,431000
6/7/2003,429000
6/14/2003,421000
6/21/2003,408000
6/28/2003,429000
7/5/2003,433000
7/12/2003,412000
7/19/2003,403000
7/26/2003,398000
8/2/2003,401000
8/9/2003,404000
8/16/2003,398000
8/23/2003,391000
8/30/2003,407000
9/6/2003,422000
9/13/2003,394000
9/20/2003,379000
9/27/2003,387000
10/4/2003,386000
10/11/2003,376000
10/18/2003,387000
10/25/2003,379000
11/1/2003,363000
11/8/2003,371000
11/15/2003,370000
11/22/2003,354000
11/29/2003,357000
12/6/2003,367000
12/13/2003,363000
12/20/2003,354000
12/27/2003,349000
1/3/2004,356000
1/10/2004,354000
1/17/2004,362000
1/24/2004,353000
1/31/2004,376000
2/7/2004,380000
2/14/2004,356000
2/21/2004,359000
2/28/2004,348000
3/6/2004,344000
3/13/2004,338000
3/20/2004,346000
3/27/2004,340000
4/3/2004,335000
4/10/2004,355000
4/17/2004,364000
4/24/2004,339000
5/1/2004,324000
5/8/2004,329000
5/15/2004,349000
5/22/2004,342000
5/29/2004,337000
6/5/2004,355000
6/12/2004,339000
6/19/2004,354000
6/26/2004,348000
7/3/2004,326000
7/10/2004,345000
7/17/2004,355000
7/24/2004,348000
7/31/2004,341000
8/7/2004,336000
8/14/2004,332000
8/21/2004,343000
8/28/2004,352000
9/4/2004,326000
9/11/2004,331000
9/18/2004,341000
9/25/2004,351000
10/2/2004,335000
10/9/2004,338000
10/16/2004,327000
10/23/2004,338000
10/30/2004,332000
11/6/2004,330000
11/13/2004,337000
11/20/2004,313000
11/27/2004,335000
12/4/2004,343000
12/11/2004,316000
12/18/2004,322000
12/25/2004,320000
1/1/2005,356000
1/8/2005,369000
1/15/2005,332000
1/22/2005,329000
1/29/2005,331000
2/5/2005,307000
2/12/2005,308000
2/19/2005,318000
2/26/2005,314000
3/5/2005,333000
3/12/2005,324000
3/19/2005,329000
3/26/2005,342000
4/2/2005,335000
4/9/2005,323000
4/16/2005,307000
4/23/2005,317000
4/30/2005,334000
5/7/2005,327000
5/14/2005,321000
5/21/2005,320000
5/28/2005,340000
6/4/2005,338000
6/11/2005,333000
6/18/2005,321000
6/25/2005,311000
7/2/2005,327000
7/9/2005,338000
7/16/2005,323000
7/23/2005,318000
7/30/2005,316000
8/6/2005,311000
8/13/2005,319000
8/20/2005,315000
8/27/2005,318000
9/3/2005,326000
9/10/2005,422000
9/17/2005,424000
9/24/2005,359000
10/1/2005,384000
10/8/2005,383000
10/15/2005,348000
10/22/2005,324000
10/29/2005,322000
11/5/2005,325000
11/12/2005,309000
11/19/2005,324000
11/26/2005,311000
12/3/2005,321000
12/10/2005,327000
12/17/2005,312000
12/24/2005,320000
12/31/2005,302000
1/7/2006,326000
1/14/2006,285000
1/21/2006,290000
1/28/2006,282000
2/4/2006,289000
2/11/2006,298000
2/18/2006,283000
2/25/2006,293000
3/4/2006,302000
3/11/2006,307000
3/18/2006,303000
3/25/2006,295000
4/1/2006,291000
4/8/2006,299000
4/15/2006,299000
4/22/2006,308000
4/29/2006,321000
5/6/2006,347000
5/13/2006,335000
5/20/2006,319000
5/27/2006,330000
6/3/2006,307000
6/10/2006,298000
6/17/2006,308000
6/24/2006,309000
7/1/2006,316000
7/8/2006,343000
7/15/2006,318000
7/22/2006,306000
7/29/2006,311000
8/5/2006,318000
8/12/2006,310000
8/19/2006,315000
8/26/2006,314000
9/2/2006,315000
9/9/2006,314000
9/16/2006,324000
9/23/2006,319000
9/30/2006,309000
10/7/2006,316000
10/14/2006,305000
10/21/2006,313000
10/28/2006,328000
11/4/2006,319000
11/11/2006,311000
11/18/2006,326000
11/25/2006,349000
12/2/2006,327000
12/9/2006,311000
12/16/2006,318000
12/23/2006,323000
12/30/2006,341000
